I09ZV-0000,9291X                    ,E  ,26.00000,2011-06-22 23:59:00.000,30,60     ,2011-07-26 10:46:00.000,2011-07-28 08:46:00.000
I09ZV-0000,9291X                    ,E  ,26.00000,2011-06-22 23:59:00.000,40,90     ,2011-07-28 09:16:00.000,2011-07-28 09:47:00.000
I09ZV-0000,9291X                    ,E  ,26.00000,2011-06-22 23:59:00.000,50,94     ,2011-07-28 10:17:00.000,2011-07-29 22:02:00.000
I09ZV-0000,9291X                    ,E  ,26.00000,2011-06-22 23:59:00.000,60,100    ,2011-08-01 07:02:00.000,2011-08-04 11:02:00.000
I09ZV-0000,9291X                    ,E  ,26.00000,2011-06-22 23:59:00.000,70,91     ,2011-08-05 11:32:00.000,2011-08-05 12:04:00.000
I09ZZ-0000,9291905X                 ,C  ,26.00000,2011-06-22 23:59:00.000,10,70     ,2011-06-20 13:04:00.000,2011-06-29 12:34:00.000
I09ZZ-0000,9291905X                 ,C  ,26.00000,2011-06-22 23:59:00.000,20,60     ,2011-06-22 07:30:00.000,2011-06-24 11:45:00.000
I09ZZ-0000,9291905X                 ,C  ,26.00000,2011-06-22 23:59:00.000,30,90     ,2011-06-23 07:46:00.000,2011-06-23 07:47:00.000
I09ZZ-0000,9291905X                 ,C  ,26.00000,2011-06-22 23:59:00.000,40,94     ,2011-06-23 08:17:00.000,2011-06-23 11:08:00.000
I09ZZ-0000,9291905X                 ,C  ,26.00000,2011-06-22 23:59:00.000,50,100    ,2011-06-23 11:38:00.000,2011-06-27 09:53:00.000
I09ZZ-0000,9291905X                 ,C  ,26.00000,2011-06-22 23:59:00.000,60,240    ,2011-06-24 13:53:00.000,2011-06-27 12:53:00.000
I0A3H-0000,3550HZL0003EX            ,C  ,108.00000,2011-06-22 23:59:00.000,10,SUBPREC,2011-06-14 07:14:00.000,2011-06-15 00:00:00.000
I0A3H-0000,3550HZL0003EX            ,C  ,108.00000,2011-06-22 23:59:00.000,20,94     ,2011-06-20 07:18:00.000,2011-06-20 19:47:00.000
I0A3H-0000,3550HZL0003EX            ,C  ,108.00000,2011-06-22 23:59:00.000,30,96     ,2011-06-22 14:10:00.000,2011-06-24 05:01:00.000
I0A3J-0000,3950HZL001500            ,D  ,101.00000,2011-06-22 23:59:00.000,10,SUBPREC,2011-06-20 07:18:00.000,2011-06-27 07:18:00.000
I0A3J-0000,3950HZL001500            ,D  ,101.00000,2011-06-22 23:59:00.000,20,96     ,2011-06-22 14:17:00.000,2011-06-24 05:06:00.000
I0A3K-0000,3050HZL001000            ,A  ,396.00000,2011-06-22 23:59:00.000,10,SUBPREC,2011-06-15 07:10:00.000,2011-06-22 07:10:00.000
I0A3K-0000,3050HZL001000            ,A  ,396.00000,2011-06-22 23:59:00.000,20,96     ,2011-06-22 14:03:00.000,2011-06-24 05:01:00.000
I0A99-0000,3050HZL001000            ,A  ,125.00000,2011-06-22 23:59:00.000,10,SUBPREC,2011-06-24 07:46:00.000,2011-07-01 07:46:00.000
I0A99-0000,3050HZL001000            ,A  ,125.00000,2011-06-22 23:59:00.000,20,96     ,2011-07-01 07:46:00.000,2011-07-01 07:58:00.000
I0A9H-0000,AUX5021-01               ,0  ,14.00000,2011-06-23 00:00:00.000,10,17-CAT ,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000
I0A9H-0000,AUX5021-01               ,0  ,14.00000,2011-06-23 00:00:00.000,20,35-CAT ,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000
I0A2H-0001,11D1237H01A              ,06 ,12.00000,2011-06-23 11:06:00.000,10,17     ,2011-06-22 20:16:00.000,2011-06-22 21:00:00.000
I0A2H-0001,11D1237H01A              ,06 ,12.00000,2011-06-23 11:06:00.000,20,50     ,2011-06-21 15:00:00.000,2011-06-21 15:06:00.000
I0A2H-0001,11D1237H01A              ,06 ,12.00000,2011-06-23 11:06:00.000,30,65     ,2011-06-22 07:28:00.000,2011-06-22 07:53:00.000
